תאריך,הגרלה,תלתן,יהלום,לב,עלה
09/03/1994,1,A,9,A,9,
10/03/1994,2,9,K,K,Q,
11/03/1994,3,7,A,9,Q,
13/03/1994,4,J,J,A,9,
14/03/1994,5,10,9,9,7,
15/03/1994,6,10,A,10,Q,
16/03/1994,7,Q,8,9,8,
17/03/1994,8,10,Q,K,10,
18/03/1994,9,9,7,8,7,
20/03/1994,10,Q,A,10,Q,
21/03/1994,11,7,A,J,Q,
22/03/1994,12,7,9,Q,A,
23/03/1994,13,K,Q,10,K,
24/03/1994,14,8,7,10,8,
25/03/1994,15,9,10,Q,Q,
28/03/1994,16,7,J,9,8,
29/03/1994,17,K,8,9,7,
30/03/1994,18,K,10,J,8,
31/03/1994,19,A,8,Q,K,
01/04/1994,20,9,A,10,7,
03/04/1994,21,10,7,A,J,
04/04/1994,22,A,9,Q,Q,
05/04/1994,23,K,K,Q,J,
06/04/1994,24,10,7,8,K,
07/04/1994,25,7,Q,8,J,
08/04/1994,26,10,7,8,J,
10/04/1994,27,10,7,9,J,
11/04/1994,28,9,J,10,10,
12/04/1994,29,9,A,8,9,
13/04/1994,30,K,J,9,J,
14/04/1994,31,8,10,A,10,
15/04/1994,32,10,7,7,A,
17/04/1994,33,A,J,10,8,
18/04/1994,34,K,8,K,K,
19/04/1994,35,8,J,K,J,
20/04/1994,36,9,7,9,J,
21/04/1994,37,Q,Q,10,J,
22/04/1994,38,7,Q,Q,J,
24/04/1994,39,9,8,J,9,
25/04/1994,40,J,Q,8,7,
26/04/1994,41,8,10,10,K,
27/04/1994,42,K,9,A,Q,
28/04/1994,43,K,10,8,10,
29/04/1994,44,8,Q,K,J,
01/05/1994,45,A,10,8,K,
02/05/1994,46,K,8,8,K,
03/05/1994,47,9,8,9,J,
04/05/1994,48,J,7,9,9,
05/05/1994,49,A,J,10,7,
06/05/1994,50,7,J,9,K,
08/05/1994,51,8,Q,Q,9,
09/05/1994,52,K,10,10,8,
10/05/1994,53,7,8,9,7,
11/05/1994,54,Q,J,A,Q,
12/05/1994,55,7,K,10,A,
13/05/1994,56,J,9,9,A,
15/05/1994,57,J,A,A,J,
17/05/1994,58,K,10,9,K,
18/05/1994,59,10,Q,A,J,
19/05/1994,60,K,A,8,10,
20/05/1994,61,7,8,9,K,
22/05/1994,62,8,7,10,A,
23/05/1994,63,8,7,10,10,
24/05/1994,64,10,9,A,K,
25/05/1994,65,K,J,8,9,
26/05/1994,66,K,8,9,10,
27/05/1994,67,A,10,Q,K,
29/05/1994,68,7,9,A,10,
30/05/1994,69,7,9,9,J,
31/05/1994,70,9,9,A,K,
01/06/1994,71,7,J,A,A,
02/06/1994,72,10,8,A,7,
03/06/1994,73,J,Q,9,10,
05/06/1994,74,9,J,10,K,
06/06/1994,75,Q,9,J,A,
07/06/1994,76,7,K,7,Q,
08/06/1994,77,A,A,10,A,
09/06/1994,78,9,Q,Q,9,
10/06/1994,79,K,Q,9,10,
12/06/1994,80,K,7,8,8,
13/06/1994,81,K,10,Q,Q,
14/06/1994,82,Q,J,9,A,
15/06/1994,83,7,Q,7,7,
16/06/1994,84,8,8,J,10,
17/06/1994,85,9,K,7,9,
19/06/1994,86,8,Q,J,9,
20/06/1994,87,A,K,J,J,
21/06/1994,88,7,10,8,K,
22/06/1994,89,A,A,Q,J,
23/06/1994,90,Q,10,A,A,
24/06/1994,91,K,10,K,10,
26/06/1994,92,A,K,7,10,
27/06/1994,93,9,K,10,A,
28/06/1994,94,Q,8,8,10,
29/06/1994,95,K,J,10,A,
30/06/1994,96,Q,8,A,Q,
01/07/1994,97,10,A,K,A,
03/07/1994,98,9,10,9,8,
04/07/1994,99,9,8,8,A,
05/07/1994,100,A,A,8,8,
06/07/1994,101,Q,9,K,J,
07/07/1994,102,Q,9,K,8,
08/07/1994,103,Q,10,A,K,
10/07/1994,104,A,10,J,10,
11/07/1994,105,10,K,8,J,
12/07/1994,106,K,8,Q,10,
13/07/1994,107,9,8,8,7,
14/07/1994,108,K,K,Q,A,
15/07/1994,109,Q,K,J,9,
17/07/1994,110,8,7,Q,9,
18/07/1994,111,K,7,7,A,
19/07/1994,112,Q,J,8,9,
20/07/1994,113,J,9,9,K,
21/07/1994,114,Q,9,J,9,
22/07/1994,115,A,J,K,7,
24/07/1994,116,8,Q,10,9,
25/07/1994,117,8,A,8,10,
26/07/1994,118,A,7,A,8,
27/07/1994,119,9,9,9,Q,
28/07/1994,120,A,A,7,K,
