תאריך,הגרלה,תלתן,יהלום,לב,עלה
20/07/2005,13000,10,8,J,7,
20/07/2005,13001,7,Q,9,K,
20/07/2005,13002,A,J,9,10,
20/07/2005,13003,9,8,10,A,
20/07/2005,13004,10,7,9,7,
21/07/2005,13005,J,J,Q,J,
21/07/2005,13006,Q,7,J,7,
21/07/2005,13007,Q,A,J,A,
21/07/2005,13008,A,Q,10,9,
21/07/2005,13009,A,Q,9,8,
21/07/2005,13010,Q,9,J,A,
22/07/2005,13011,K,9,7,8,
22/07/2005,13012,10,A,8,10,
22/07/2005,13013,K,Q,8,9,
23/07/2005,13014,8,A,Q,A,
23/07/2005,13015,J,Q,Q,9,
24/07/2005,13016,10,A,10,A,
24/07/2005,13017,10,A,Q,8,
24/07/2005,13018,9,J,9,7,
24/07/2005,13019,K,A,A,7,
24/07/2005,13020,A,A,9,9,
24/07/2005,13021,10,7,10,8,
25/07/2005,13022,7,7,K,8,
25/07/2005,13023,7,10,Q,7,
25/07/2005,13024,J,Q,9,10,
25/07/2005,13025,8,Q,K,10,
25/07/2005,13026,8,10,8,J,
25/07/2005,13027,9,A,8,9,
26/07/2005,13028,J,Q,10,7,
26/07/2005,13029,9,7,J,J,
26/07/2005,13030,10,A,A,J,
26/07/2005,13031,7,Q,Q,K,
26/07/2005,13032,A,9,K,A,
26/07/2005,13033,K,9,8,J,
27/07/2005,13034,K,8,10,7,
27/07/2005,13035,10,J,A,8,
27/07/2005,13036,J,K,9,K,
27/07/2005,13037,10,K,Q,J,
27/07/2005,13038,8,10,A,K,
27/07/2005,13039,10,8,9,J,
28/07/2005,13040,10,9,9,9,
28/07/2005,13041,A,K,J,K,
28/07/2005,13042,9,10,10,K,
28/07/2005,13043,9,9,8,J,
28/07/2005,13044,K,K,8,7,
28/07/2005,13045,Q,9,Q,7,
29/07/2005,13046,8,8,7,8,
29/07/2005,13047,8,8,8,10,
29/07/2005,13048,8,Q,A,Q,
30/07/2005,13049,9,A,K,10,
30/07/2005,13050,10,Q,A,7,
31/07/2005,13051,8,K,K,10,
31/07/2005,13052,10,10,A,8,
31/07/2005,13053,9,9,8,Q,
31/07/2005,13054,7,8,A,A,
31/07/2005,13055,J,K,A,Q,
31/07/2005,13056,7,A,J,8,
01/08/2005,13057,A,7,10,A,
01/08/2005,13058,Q,10,7,K,
01/08/2005,13059,K,K,K,8,
01/08/2005,13060,J,Q,8,A,
01/08/2005,13061,J,J,K,9,
01/08/2005,13062,K,Q,K,A,
02/08/2005,13063,9,J,8,K,
02/08/2005,13064,A,9,10,Q,
02/08/2005,13065,K,J,K,Q,
02/08/2005,13066,K,A,K,9,
02/08/2005,13067,J,K,7,9,
02/08/2005,13068,A,10,J,8,
03/08/2005,13069,Q,A,10,10,
03/08/2005,13070,K,J,A,Q,
03/08/2005,13071,9,J,J,K,
03/08/2005,13072,7,J,A,10,
03/08/2005,13073,A,A,9,10,
03/08/2005,13074,10,K,J,9,
04/08/2005,13075,10,10,8,8,
04/08/2005,13076,J,A,10,Q,
04/08/2005,13077,J,9,A,10,
04/08/2005,13078,10,A,7,J,
04/08/2005,13079,8,K,9,A,
04/08/2005,13080,Q,7,J,9,
05/08/2005,13081,J,J,J,A,
05/08/2005,13082,10,7,J,10,
05/08/2005,13083,9,Q,K,9,
06/08/2005,13084,Q,9,Q,9,
06/08/2005,13085,J,A,10,Q,
07/08/2005,13086,8,J,7,K,
07/08/2005,13087,8,K,J,10,
07/08/2005,13088,10,8,Q,9,
07/08/2005,13089,Q,A,7,J,
07/08/2005,13090,9,8,A,8,
07/08/2005,13091,8,A,A,9,
08/08/2005,13092,10,9,10,J,
08/08/2005,13093,Q,10,Q,J,
08/08/2005,13094,K,7,A,8,
08/08/2005,13095,J,8,9,10,
